99999	32	102	132	148	112	65	62	133	152	174	187	144	86
32	99999	90	121	117	82	34	33	102	121	143	156	114	55
102	90	99999	31	60	30	68	97	84	83	105	102	95	68
132	121	31	99999	42	33	84	113	86	81	103	84	98	78
148	117	60	42	99999	39	91	120	75	38	60	38	62	79
112	82	30	33	39	99999	51	80	53	52	74	82	64	45
65	34	68	84	91	51	99999	28	68	91	113	126	80	22
62	33	97	113	120	80	28	99999	76	110	134	158	88	40
133	102	84	86	75	53	68	76	99999	41	58	117	13	47
152	121	83	81	38	52	91	110	41	99999	22	77	23	70
174	143	105	103	60	74	113	134	58	22	99999	99	46	92
187	156	102	84	38	82	126	158	117	77	99	99999	101	118
144	114	95	98	62	64	80	88	13	23	46	101	99999	58
86	55	68	78	79	45	22	40	47	70	92	118	58	99999
